# DC,MI,polymer
1.951435279061256978e+01 1.054083624775908667e+00 2.714588729792970613e-04 2.714588729792970613e-04
2.034127671967129203e+01 1.188672837032324292e+00 1.619735263063892198e-04 1.619735263063892198e-04
2.106295544747994342e+01 1.177451528807723857e+00 2.199661302549971783e-04 2.199661302549971783e-04
2.115053586005654296e+01 1.192824814371127529e+00 2.180096360738829832e-04 2.180096360738829832e-04
2.064995729969458793e+01 1.170634518669132706e+00 1.753252757747974675e-04 1.753252757747974675e-04
2.134326252203080543e+01 1.144849099928124225e+00 8.389723221926971943e-05 8.389723221926971943e-05
2.088373390014063347e+01 1.147685001223430756e+00 1.434576377170578097e-04 1.434576377170578097e-04
2.080115409030323548e+01 1.118584758405358981e+00 5.644454159336426244e-05 5.644454159336426244e-05
2.162897061419233324e+01 1.076975574058820495e+00 1.523940870510901639e-04 1.523940870510901639e-04
2.171894542032125131e+01 1.049034968433224080e+00 7.267021150710090323e-05 7.267021150710090323e-05
2.181973915651441587e+01 1.013446560567814014e+00 1.960974957278981872e-04 1.960974957278981872e-04
2.018225903688562184e+01 1.075569487943323521e+00 1.684146313723820061e-04 1.684146313723820061e-04
1.982892415854603740e+01 1.160331858238153213e+00 2.050301383991720127e-04 2.050301383991720127e-04
1.987687692412488261e+01 1.151130349002757569e+00 3.204519741877060075e-04 3.204519741877060075e-04
2.009210022638522020e+01 1.190805234963330683e+00 2.495832786297183092e-04 2.495832786297183092e-04
2.013143435836596140e+01 1.225608277567930893e+00 3.055145490811702908e-04 3.055145490811702908e-04
2.016318163335954949e+01 1.215961929622068949e+00 1.765032554273807445e-04 1.765032554273807445e-04
2.034094641612364285e+01 1.249270470500482677e+00 1.397989470277048783e-04 1.397989470277048783e-04
2.035920174987112574e+01 1.228276920746964818e+00 7.502105712033316112e-05 7.502105712033316112e-05
2.601015382501994821e+01 1.015373803805418973e+00 2.260553722583074482e-04 2.260553722583074482e-04
2.597458067917086666e+01 1.017240217206251574e+00 2.215664047926760218e-04 2.215664047926760218e-04
2.601567102604980875e+01 1.006169595386321891e+00 3.849661867020214511e-04 3.849661867020214511e-04
2.600571866320044734e+01 1.012052008939224645e+00 1.769066742476290051e-04 1.769066742476290051e-04
2.587344813987066416e+01 1.010876980176670603e+00 1.102874863042615860e-04 1.102874863042615860e-04
2.601246936401782861e+01 1.018647348139192887e+00 2.241137549176110220e-04 2.241137549176110220e-04
2.578817036750775671e+01 1.012155726146017232e+00 1.459132731951016428e-04 1.459132731951016428e-04
2.575097554980636261e+01 1.006403629956301726e+00 3.684856136791399956e-04 3.684856136791399956e-04
2.576042246262652569e+01 1.018457598874121572e+00 2.009463590376913116e-04 2.009463590376913116e-04
2.586004682631320151e+01 1.016815177337511589e+00 2.752956855897791206e-04 2.752956855897791206e-04
